time idA idB label
0 11 0 1
89 5 11 0
563 12 11 1
1774 2 11 3
2317 16 11 1
3105 14 11 1
3773 18 11 0
4669 3 11 3
4814 9 11 0
5539 9 11 1
2530 10 12 0
2825 11 10 0
3083 12 10 0
3099 12 11 0
3124 12 11 0
3241 11 12 0
3395 10 11 0
3556 17 10 0
3737 15 12 0
1913 6 2 0
1977 2 6 3
3751 7 16 0
3954 16 7 0
4501 11 18 1
5435 18 11 0
5718 11 18 0
5040 8 9 0
5271 11 9 0
5301 9 8 0
5535 8 9 0
5657 9 8 1
5911 11 9 0
5925 4 9 0
5976 8 11 0
6035 13 11 0
5325 8 11 0
5762 19 11 0
5908 19 11 0
5978 19 11 0
6052 1 11 0
6081 19 11 0
5920 8 19 3
6040 11 19 0
