 time idA idB label
0 0 3 0 1
1 30143 2 3 0
2 30165 32 3 0
3 30728 26 3 0
4 30798 24 3 0
5 30835 1 3 3
6 30980 10 3 0
7 31639 20 3 0
8 31857 22 3 0
9 31988 23 3 0
10 32048 25 3 2
11 32049 27 3 0
12 32191 33 3 2
13 32203 34 3 1
14 32494 18 3 2
15 32591 11 3 3
16 32877 28 3 0
17 33256 8 3 0
18 33487 7 3 0
19 33563 36 3 0
20 34133 39 3 2
21 34329 37 3 0
22 34588 15 3 0
23 35016 21 3 0
24 35274 14 3 0
25 35491 4 3 2
26 35606 12 3 0
27 35828 19 3 0
28 36426 38 3 2
29 36886 31 3 2
30 37173 17 3 0
31 37367 16 3 0
32 37611 29 3 0
33 37632 35 3 0
34 37637 30 3 0
35 30560 6 2 0
36 30931 2 6 0
37 31066 6 2 0
38 31203 2 6 0
39 32038 6 2 0
40 31673 13 20 0
41 31965 5 20 0
42 32534 13 5 0
43 32848 20 13 0
44 32914 13 20 0
45 32946 13 13 0
46 32060 9 23 0
