 time idA idB label
0 0 1 0 1
1 115 5 1 0
2 149 6 1 3
3 273 2 1 0
4 302 20 1 2
5 311 7 1 2
6 398 22 1 0
7 470 11 1 0
8 473 22 1 2
9 528 22 1 0
10 535 9 1 0
11 580 21 1 0
12 710 12 1 0
13 835 2 1 3
14 861 16 1 0
15 915 17 1 0
16 1009 4 1 3
17 1165 19 1 0
18 1672 16 1 2
19 2641 15 1 0
20 3614 3 1 0
21 4115 14 1 0
22 2866 16 5 0
23 2091 10 6 0
24 2622 6 10 0
25 2188 10 20 0
26 2227 20 10 0
27 2370 10 11 0
28 802 2 22 2
29 856 22 2 0
30 900 2 22 0
31 1021 13 22 2
32 1001 22 2 1
33 3791 8 2 0
34 1057 2 22 0
35 1126 22 2 0
36 3861 22 8 0
37 1078 22 13 0
38 2969 18 13 0
39 1133 13 22 3
40 3001 13 18 0
41 3042 18 13 0
42 3346 13 18 3
43 3398 22 13 0
44 3662 18 13 0
45 3533 13 22 0
46 2806 16 15 3
