 time idA idB label
0 0 3 0 1
1 75 29 3 0
2 163 23 3 1
3 206 2 3 0
4 233 41 3 1
5 257 12 3 0
6 288 1 3 1
7 299 25 3 0
8 337 36 3 0
9 360 20 3 0
10 396 6 3 0
11 411 4 3 0
12 746 9 3 3
13 759 33 3 0
14 840 31 3 0
15 875 39 3 0
16 921 31 3 0
17 1047 14 3 0
18 1049 22 3 1
19 1067 26 3 1
20 1094 19 3 0
21 1668 42 3 0
22 1779 16 3 0
23 2025 35 3 0
24 2480 34 3 0
25 2900 32 3 0
26 2916 32 3 0
27 3042 13 3 0
28 3889 43 3 0
29 7152 10 3 0
30 7178 8 3 2
31 7481 5 3 0
32 8053 30 3 0
33 8264 21 3 0
34 8356 17 3 0
35 9189 27 3 0
36 10626 24 3 0
37 11365 37 3 1
38 13152 7 3 1
39 363 6 41 0
40 8396 40 41 0
41 401 12 12 0
42 8013 28 12 0
43 8777 38 12 0
44 526 6 25 0
45 3715 15 25 0
46 3818 11 25 0
47 3863 11 11 0
48 1449 18 31 0
