time idA idB label
0 1 0 1
115 5 1 0
149 6 1 3
273 2 1 0
302 21 1 2
311 7 1 2
398 23 1 0
470 12 1 0
473 23 1 2
528 23 1 0
535 9 1 0
580 22 1 0
710 13 1 0
835 2 1 3
861 17 1 0
915 18 1 0
1009 4 1 3
1165 20 1 0
1672 17 1 2
2641 16 1 0
3614 3 1 0
4115 15 1 0
2866 17 5 0
2091 11 6 0
2622 6 11 0
2188 11 21 0
2227 21 11 0
2370 11 12 0
802 2 23 2
856 23 2 0
900 2 23 0
1021 14 23 2
1001 23 2 1
3791 8 2 0
1057 2 23 0
1126 23 2 0
3861 23 8 0
6917 10 8 0
7343 8 10 3
1078 23 14 0
2969 19 14 0
1133 14 23 3
3001 14 19 0
3042 19 14 0
3346 14 19 3
3398 23 14 0
3662 19 14 0
3533 14 23 0
2806 17 16 3
