 time idA idB label
0 0 11 0 1
1 130 7 11 0
2 249 9 11 0
3 290 6 11 1
4 566 15 11 1
5 894 8 11 2
6 1109 1 11 0
7 1705 12 11 1
8 1797 5 11 0
9 2157 14 11 1
10 2306 4 11 0
11 2645 3 11 0
12 2914 18 11 1
13 2974 10 11 0
14 3501 13 8 0
15 4705 8 13 1
16 5070 13 8 0
17 3484 16 12 2
18 3544 12 16 0
19 3626 12 16 0
20 3710 11 12 0
21 5626 2 11 1
22 9026 17 11 0
23 9119 12 17 0
24 9123 17 17 0
25 9262 17 12 0
26 9363 17 17 2
27 9389 12 17 0
28 9188 12 17 1
29 9441 17 12 0
30 9501 17 17 0
31 9504 12 17 2
32 9629 12 17 2
33 9727 17 12 3
34 9791 12 17 0
35 10098 17 12 1
36 10169 12 17 0
37 10252 17 17 3
38 10459 17 12 0
39 10349 17 17 0
