 time idA idB label
0 0 1 0 1
1 54 27 1 0
2 81 54 1 0
3 87 5 1 0
4 91 49 1 2
5 118 26 1 0
6 120 41 1 2
7 130 23 1 0
8 250 46 1 3
9 289 12 1 2
10 311 18 1 0
11 354 14 1 0
12 396 32 1 0
13 403 25 1 0
14 408 17 1 0
15 415 35 1 0
16 440 9 1 0
17 511 38 1 0
18 564 29 1 0
19 679 19 1 0
20 754 6 1 0
21 784 16 1 0
22 908 48 1 0
23 912 40 1 0
24 1042 58 1 1
25 1138 20 1 0
26 1404 22 1 0
27 1434 2 1 0
28 1440 43 1 0
29 1587 36 1 0
30 1811 30 1 0
31 1869 13 1 0
32 1907 3 1 3
33 1943 33 1 0
34 2742 31 1 0
35 2919 52 1 0
36 2992 21 1 0
37 3008 24 1 1
38 3158 21 1 0
39 3466 21 1 0
40 3691 7 1 0
41 4247 21 1 0
42 4289 51 1 0
43 4349 44 1 0
44 4370 21 1 0
45 4989 31 1 0
46 5975 57 1 0
47 6674 10 1 0
48 6994 53 1 0
49 7817 39 1 0
50 8130 55 1 0
51 8213 55 1 0
52 8412 11 1 0
53 10182 50 1 0
54 11119 42 1 0
55 11242 4 1 0
56 11261 4 1 0
57 11509 34 1 0
58 11984 37 1 0
59 12249 15 1 0
60 1229 56 5 0
61 2923 45 5 0
62 5047 5 45 0
63 236 28 26 0
64 322 12 12 0
65 12635 8 12 0
66 420 14 14 0
67 4241 47 14 0
68 10679 14 47 0
69 4010 21 33 0
70 4097 21 33 0
71 12570 33 21 0
