 time idA idB label
0 0 3 0 1
1 143 1 3 0
2 172 7 3 2
3 299 9 3 1
4 404 9 3 1
5 429 2 3 2
6 446 10 3 2
7 808 6 7 1
8 8342 4 7 1
9 8537 7 4 0
10 4681 14 9 1
11 4799 13 9 1
12 5826 8 9 0
13 4775 9 14 0
14 4856 14 9 0
15 5116 9 14 1
16 31620 14 9 0
17 5048 9 13 0
18 5299 13 9 0
19 5385 9 13 0
20 5818 13 13 0
21 5894 8 13 0
22 5955 9 8 3
23 6195 13 8 2
24 6339 8 9 0
25 6439 8 13 2
26 847 6 9 1
27 1367 11 9 0
28 2233 5 9 0
29 1872 9 6 3
30 2066 6 9 0
31 2147 9 6 0
32 1945 9 11 0
33 2141 11 9 2
34 2190 11 9 0
35 8829 4 9 0
36 2249 9 11 3
37 2284 9 11 0
38 2336 9 11 3
39 2451 11 9 0
40 2563 11 9 0
41 2598 11 9 0
42 2524 9 11 0
43 2706 11 9 3
44 2938 9 11 0
45 3103 11 9 1
46 2766 9 11 0
47 2914 11 9 0
48 2941 11 9 0
49 2497 12 9 0
50 2693 9 12 1
51 2450 9 11 0
52 2573 9 5 0
53 2904 5 9 1
