 time idA idB label
0 0 3 0 1
1 75 40 3 0
2 163 31 3 1
3 206 2 3 0
4 233 64 3 1
5 257 15 3 0
6 288 1 3 1
7 299 34 3 0
8 337 56 3 0
9 360 27 3 0
10 396 7 3 0
11 411 5 3 0
12 746 12 3 3
13 759 47 3 0
14 840 43 3 0
15 875 62 3 0
16 921 43 3 0
17 1047 19 3 0
18 1049 30 3 1
19 1067 36 3 1
20 1094 26 3 0
21 1668 66 3 0
22 1779 21 3 0
23 2025 54 3 0
24 2480 51 3 0
25 2900 46 3 0
26 2916 46 3 0
27 3042 18 3 0
28 3889 68 3 0
29 7152 13 3 0
30 7178 10 3 2
31 7481 6 3 0
32 8053 41 3 0
33 8264 28 3 0
34 8356 23 3 0
35 9189 37 3 0
36 10626 33 3 0
37 11365 57 3 1
38 13152 8 3 1
39 13663 69 3 0
40 13736 65 3 0
41 14437 17 3 0
42 14878 32 3 0
43 17038 35 3 1
44 17152 16 3 0
45 18276 70 3 3
46 18517 67 3 0
47 20007 44 3 0
48 20134 42 3 1
49 22310 50 3 0
50 22368 11 3 0
51 23559 60 3 0
52 25065 22 3 0
53 25658 25 3 2
54 26232 55 3 0
55 30054 61 3 2
56 35207 59 3 0
57 37012 39 3 1
58 41802 48 3 1
59 57470 29 3 2
60 82041 52 3 0
61 82442 49 3 0
62 88604 9 3 0
63 91392 45 3 1
64 550345 53 3 0
65 14595 4 2 0
66 363 7 64 0
67 8396 63 64 0
68 401 15 15 0
69 8013 38 15 0
70 8777 58 15 0
71 13588 69 1 0
72 20445 69 69 0
73 526 7 34 0
74 3715 20 34 0
75 3818 14 34 0
76 3863 14 14 0
77 1449 24 43 0
78 13705 69 43 0
79 14211 43 69 0
80 14632 69 69 0
