time idA idB label
0 3 0 1
143 1 3 0
172 7 3 2
299 9 3 1
404 9 3 1
429 2 3 2
446 10 3 2
808 6 7 1
8342 4 7 1
4681 14 9 1
4799 13 9 1
5826 8 9 0
4775 9 14 0
4856 14 9 0
5116 9 14 1
5048 9 13 0
5299 13 9 0
5385 9 13 0
5818 13 13 0
5894 8 13 0
5955 9 8 3
6195 13 8 2
6339 8 9 0
6439 8 13 2
847 6 9 1
1367 11 9 0
2233 5 9 0
1872 9 6 3
2066 6 9 0
2147 9 6 0
1945 9 11 0
2141 11 9 2
2190 11 9 0
2249 9 11 3
2284 9 11 0
2336 9 11 3
2451 11 9 0
2563 11 9 0
2598 11 9 0
2524 9 11 0
2706 11 9 3
2938 9 11 0
3103 11 9 1
2766 9 11 0
2914 11 9 0
2941 11 9 0
2497 12 9 0
2693 9 12 1
2450 9 11 0
2573 9 5 0
2904 5 9 1
