time idA idB label
0 22 0 1
112 6 22 0
142 26 22 0
157 15 22 3
157 25 22 3
185 7 22 0
195 5 22 0
208 7 22 3
211 2 22 3
235 20 22 3
279 11 22 3
334 3 22 3
334 27 22 0
401 8 22 3
412 28 22 0
982 16 6 0
4045 22 6 3
4344 6 22 0
2871 19 26 3
2493 14 15 0
4051 22 15 0
2227 4 25 0
4059 22 25 0
5414 22 4 0
5566 4 22 3
4109 25 22 3
799 13 5 3
4068 22 5 0
2648 5 13 1
4542 22 13 1
3076 13 5 0
3327 5 13 0
3537 5 13 2
3560 13 5 0
3690 4 5 0
5575 22 5 0
3811 13 4 0
4179 5 4 1
4321 5 4 0
4455 4 5 0
3644 13 5 0
4606 13 22 0
4354 5 22 0
290 17 7 0
354 7 17 0
399 17 7 0
470 7 17 0
1132 18 17 0
560 17 7 0
593 17 17 1
1822 17 18 0
4976 22 18 0
1905 18 17 0
2272 17 18 0
2342 18 17 0
2485 17 18 2
2762 18 17 0
2852 17 18 0
2894 17 17 0
3012 17 17 0
3045 18 17 0
3109 18 17 0
3225 18 17 0
5073 18 22 0
962 12 2 0
4082 22 2 0
4120 22 2 0
2829 2 12 0
4147 4 22 3
4177 2 22 0
4669 2 22 0
1111 23 20 0
2368 1 20 0
4128 22 20 0
4883 22 23 2
4913 20 22 0
1465 21 11 1
4147 22 11 1
1759 11 21 0
4192 22 3 0
4549 3 22 0
404 27 27 3
442 10 27 0
4260 22 27 3
513 27 10 0
4270 22 10 0
5817 22 10 0
4331 24 22 1
4425 27 24 0
8157 22 24 0
8252 9 22 0
8649 27 9 1
1519 21 8 0
4228 22 8 0
1660 8 21 0
4237 22 28 0
