time idA idB label
0 3 0 2
80 22 3 0
84 51 3 0
103 48 3 0
113 12 3 0
142 26 3 0
151 21 3 0
191 41 3 0
235 25 3 2
279 38 3 3
294 5 3 0
310 23 3 0
354 9 3 3
397 29 3 1
420 42 3 3
488 1 3 1
510 35 3 0
664 28 3 0
672 33 3 0
776 46 3 3
813 2 3 0
937 30 3 0
952 19 3 2
987 15 3 0
1040 20 3 3
1046 44 3 0
1098 44 3 0
1127 18 3 0
1130 17 3 1
1147 17 3 0
1329 43 3 3
1330 47 3 2
1364 11 3 0
1388 10 3 3
1488 24 3 2
1530 52 3 1
1592 32 3 3
2071 7 3 0
2110 56 3 3
2354 56 3 0
2472 40 3 0
2480 40 3 0
2507 40 3 0
2622 11 3 0
2945 27 3 0
3081 55 3 3
4155 4 3 1
4317 31 3 1
4582 6 3 1
6425 36 3 3
8019 37 3 0
8074 16 3 0
10199 49 3 0
11843 34 3 1
12049 53 3 0
13295 54 3 0
14604 13 3 1
23502 8 3 0
5719 50 12 0
1170 44 25 0
1538 25 44 0
2777 44 25 0
2882 25 25 0
3202 44 25 0
3812 25 44 0
5560 50 5 0
711 28 28 0
1685 45 33 0
5513 50 30 2
2372 39 44 0
2680 44 39 0
9234 39 44 0
4686 6 27 0
4929 27 6 0
4722 14 6 2
