time idA idB label
0 10 0 1
89 4 10 0
563 11 10 1
1774 1 10 3
2317 15 10 1
3105 13 10 1
3773 17 10 0
4669 2 10 3
4814 8 10 0
5539 8 10 1
2530 9 11 0
2825 10 9 0
3083 11 9 0
3099 11 10 0
3124 11 10 0
3241 10 11 0
3395 9 10 0
3556 16 9 0
3737 14 11 0
1913 5 1 0
1977 1 5 3
3751 6 15 0
3954 15 6 0
4501 10 17 1
5435 17 10 0
5718 10 17 0
5040 7 8 0
5271 10 8 0
5301 8 7 0
5535 7 8 0
5657 8 7 1
5911 10 8 0
5925 3 8 0
5976 7 10 0
6035 12 10 0
5325 7 10 0
5762 18 10 0
5908 18 10 0
5978 18 10 0
5920 7 18 3
