time idA idB label
0 3 0 2
80 16 3 0
84 39 3 0
103 38 3 0
113 9 3 0
142 20 3 0
151 15 3 0
191 31 3 0
235 19 3 2
279 28 3 3
294 4 3 0
310 17 3 0
354 6 3 3
397 23 3 1
420 32 3 3
488 1 3 1
510 27 3 0
664 22 3 0
672 26 3 0
776 36 3 3
813 2 3 0
937 24 3 0
952 13 3 2
987 10 3 0
1040 14 3 3
1046 34 3 0
1098 34 3 0
1127 12 3 0
1130 11 3 1
1147 11 3 0
1329 33 3 3
1330 37 3 2
1364 8 3 0
1388 7 3 3
1488 18 3 2
1530 40 3 1
1592 25 3 3
2071 5 3 0
2110 41 3 3
2354 41 3 0
2472 30 3 0
2480 30 3 0
2507 30 3 0
2622 8 3 0
2945 21 3 0
1170 34 19 0
1538 19 34 0
2777 34 19 0
2882 19 19 0
711 22 22 0
1685 35 26 0
2372 29 34 0
2680 34 29 0
