 time idA idB label
0 0 2 0 1
1 43 26 2 0
2 203 4 2 0
3 278 23 2 0
4 305 20 2 3
5 355 21 2 3
6 435 11 2 0
7 671 14 2 0
8 2161 18 2 0
9 4068 9 2 0
10 4156 5 2 0
11 14067 1 2 0
12 15630 24 2 0
13 15827 3 2 0
14 15878 17 2 2
15 18706 7 2 0
16 18771 7 2 0
17 48155 22 2 0
18 51764 8 2 1
19 53418 10 2 0
20 54106 15 2 1
21 54150 15 2 0
22 70629 12 2 0
23 18952 25 3 3
24 42573 6 3 0
25 19115 13 7 0
26 19570 7 13 1
27 19964 13 7 0
28 20151 7 13 0
29 21585 13 7 0
30 48239 2 22 0
31 50329 16 22 1
32 54213 19 22 0
