time idA idB label
0 6 0 1
38 3 6 3
49 7 6 3
96 2 6 0
161 4 6 0
211 5 6 3
264 1 6 3
342 9 7 0
516 7 9 0
36128 7 9 0
588 9 7 3
691 8 7 0
36194 9 7 0
36294 7 9 0
36319 7 9 0
36389 6 7 0
36416 9 7 0
43066 10 6 0
57219 7 6 0
36494 7 9 0
166419 7 9 0
36566 9 7 0
169085 9 7 0
169150 7 9 0
175775 7 9 0
176079 9 7 0
176119 7 9 0
176258 7 9 0
176321 9 7 2
176390 7 9 0
176455 7 9 0
176489 7 9 0
176631 7 9 0
178950 9 7 0
202557 7 9 1
207188 7 9 0
207272 7 9 0
207324 7 9 0
207980 9 7 0
208158 7 9 0
208251 9 7 0
208516 7 9 0
426 8 1 0
