 time idA idB label
0 0 12 0 1
1 89 6 12 0
2 563 13 12 1
3 1774 2 12 3
4 2317 18 12 1
5 3105 16 12 1
6 3773 20 12 0
7 4669 4 12 3
8 4814 10 12 0
9 5539 10 12 1
10 6485 15 12 0
11 7010 3 12 0
12 2530 11 13 0
13 2825 12 11 0
14 3083 13 11 0
15 3099 13 12 0
16 3124 13 12 0
17 3241 12 13 0
18 3395 11 12 0
19 3556 19 11 0
20 3737 17 13 0
21 1913 7 2 0
22 1977 2 7 3
23 3751 8 18 0
24 3954 18 8 0
25 4501 12 20 1
26 5435 20 12 0
27 5718 12 20 0
28 6655 20 12 0
29 6896 12 20 0
30 5040 9 10 0
31 5271 12 10 0
32 5301 10 9 0
33 5535 9 10 0
34 5657 10 9 1
35 5911 12 10 0
36 5925 5 10 0
37 5976 9 12 0
38 6035 14 12 0
39 5325 9 12 0
40 5762 21 12 0
41 5908 21 12 0
42 5978 21 12 0
43 6052 1 12 0
44 6081 21 12 0
45 5920 9 21 3
46 6040 12 21 0
