time idA idB label
0 3 0 1
75 27 3 0
163 22 3 1
206 2 3 0
233 38 3 1
257 11 3 0
288 1 3 1
299 23 3 0
337 34 3 0
360 19 3 0
396 6 3 0
411 4 3 0
746 8 3 3
759 31 3 0
840 29 3 0
875 36 3 0
921 29 3 0
1047 13 3 0
1049 21 3 1
1067 24 3 1
1094 18 3 0
1668 39 3 0
1779 15 3 0
2025 33 3 0
2480 32 3 0
2900 30 3 0
2916 30 3 0
3042 12 3 0
3889 40 3 0
7152 9 3 0
7178 7 3 2
7481 5 3 0
8053 28 3 0
8264 20 3 0
8356 16 3 0
9189 25 3 0
363 6 38 0
8396 37 38 0
401 11 11 0
8013 26 11 0
8777 35 11 0
526 6 23 0
3715 14 23 0
3818 10 23 0
3863 10 10 0
1449 17 29 0
