 time idA idB label
0 0 3 0 1
1 480 7 3 0
2 776 5 3 1
3 1916 2 3 0
4 925 4 5 0
5 991 3 4 0
6 1074 1 4 0
7 1601 5 4 0
8 1649 5 4 0
9 1881 5 3 3
10 1164 6 1 0
11 1226 6 1 3
12 1952 5 6 0
13 2081 6 5 0
14 2285 6 5 0
15 3130 5 6 0
16 3307 6 5 0
17 3341 6 5 0
18 2811 5 6 0
19 2863 1 5 3
20 3194 6 5 1
21 3218 6 5 0
22 2888 3 1 0
23 17044 5 1 0
24 3249 5 3 1
25 17203 1 5 0
26 17236 1 5 0
27 17290 1 5 1
28 17807 5 1 2
29 17829 5 1 0
30 18206 6 5 0
31 18266 6 5 2
32 18482 5 6 3
33 18529 6 5 0
34 17583 5 1 0
35 18376 6 5 1
36 18565 5 6 3
37 3350 5 6 2
38 3391 1 5 3
39 3473 6 5 3
40 1948 3 2 0
41 3111 2 3 0
42 3187 3 2 0
43 3242 2 3 1
44 3331 2 3 0
45 3434 3 2 0
46 3686 2 3 0
47 3744 3 2 0
48 3891 2 3 1
