time idA idB label
0 3 0 1
30143 2 3 0
30165 28 3 0
30728 24 3 0
30798 22 3 0
30835 1 3 3
30980 10 3 0
31639 18 3 0
31857 20 3 0
31988 21 3 0
32048 23 3 2
32049 25 3 0
32191 29 3 2
32203 30 3 1
32494 16 3 2
32591 11 3 3
32877 26 3 0
33256 8 3 0
33487 7 3 0
33563 31 3 0
34133 34 3 2
34329 32 3 0
34588 15 3 0
35016 19 3 0
35274 14 3 0
35491 4 3 2
35606 12 3 0
35828 17 3 0
36426 33 3 2
36886 27 3 2
30560 6 2 0
30931 2 6 0
31066 6 2 0
31203 2 6 0
32038 6 2 0
31673 13 18 0
31965 5 18 0
32534 13 5 0
32848 18 13 0
32914 13 18 0
32946 13 13 0
32060 9 21 0
