time idA idB label
0 3 0 1
30143 2 3 0
30165 30 3 0
30728 26 3 0
30798 24 3 0
30835 1 3 3
30980 10 3 0
31639 20 3 0
31857 22 3 0
31988 23 3 0
32048 25 3 2
32049 27 3 0
32191 31 3 2
32203 32 3 1
32494 18 3 2
32591 11 3 3
32877 28 3 0
33256 8 3 0
33487 7 3 0
33563 33 3 0
34133 36 3 2
34329 34 3 0
34588 15 3 0
35016 21 3 0
35274 14 3 0
35491 4 3 2
35606 12 3 0
35828 19 3 0
36426 35 3 2
36886 29 3 2
37173 17 3 0
37367 16 3 0
30560 6 2 0
30931 2 6 0
31066 6 2 0
31203 2 6 0
32038 6 2 0
31673 13 20 0
31965 5 20 0
32534 13 5 0
32848 20 13 0
32914 13 20 0
32946 13 13 0
32060 9 23 0
