time idA idB label
0 7 0 1
30143 5 7 0
30165 79 7 0
30728 60 7 0
30798 52 7 0
30835 4 7 3
30980 20 7 0
31639 41 7 0
31857 48 7 0
31988 49 7 0
32048 53 7 2
32049 63 7 0
32191 82 7 2
32203 85 7 1
32494 36 7 2
32591 21 7 3
32877 64 7 0
33256 17 7 0
33487 15 7 0
33563 93 7 0
34133 107 7 2
34329 99 7 0
34588 26 7 0
35016 45 7 0
35274 24 7 0
35491 8 7 2
35606 22 7 0
35828 40 7 0
36426 105 7 2
36886 76 7 2
37173 33 7 0
37367 30 7 0
37611 66 7 0
37632 87 7 0
37637 72 7 0
38298 98 7 2
38683 96 7 0
38875 16 7 0
39025 54 7 0
39325 68 7 0
39571 35 7 2
39644 38 7 0
39679 70 7 0
40126 61 7 0
40323 92 7 3
40396 75 7 0
40547 3 7 0
41591 58 7 0
41602 58 7 2
41968 32 7 2
41999 88 7 0
42089 71 7 0
42161 10 7 0
42328 102 7 0
42433 39 7 2
42528 95 7 2
42570 18 7 2
43172 106 7 0
43494 86 7 2
43535 9 7 0
44461 80 7 3
44607 89 7 0
44843 77 7 0
45082 62 7 0
45270 97 7 2
46404 25 7 0
46545 12 7 3
46638 1 7 2
47678 47 7 0
48268 11 7 0
48309 83 7 0
48639 104 7 0
48666 101 7 2
49441 94 7 0
49500 100 7 2
49630 51 7 1
49741 81 7 0
50135 90 7 0
51574 65 7 0
52006 46 7 0
52894 69 7 0
53960 37 7 0
54295 91 7 0
55055 29 7 3
56414 2 7 3
56630 78 7 0
57234 74 7 0
58848 59 7 0
59267 57 7 2
59830 42 7 0
62383 27 7 2
62436 43 7 0
62886 31 7 0
63168 55 7 0
64769 50 7 2
65386 44 7 0
66247 67 7 2
67535 6 7 2
68061 34 7 0
68114 73 7 0
70552 103 7 0
71167 103 7 0
71619 28 7 0
71826 84 7 2
72538 56 7 2
30560 14 5 0
30931 5 14 0
31066 14 5 0
31203 5 14 0
32038 14 5 0
31673 23 41 0
31965 13 41 0
32534 23 13 0
32848 41 23 0
32914 23 41 0
32946 23 23 0
32060 19 49 0
